a little,অল্প-স্বল্প
anti-racketeering law,বিরোধী ধান্দাবাজি আইন
antirrhinum majus,এনটিরহিনাম মাজুস
anti-smuggling drive,চোরাচালান বিরোধী অভিযান
anti-submarine rocket,এন্টি সাবমেরিন রকেট
anti-sway bar,বিরোধী দোল বার
anti-torque rotor,বিরোধী টর্কে রটার
antitrade wind,প্রত্যয়ান-বায়ু
anti-trade wind,প্রত্যয়ান-বায়ু
antitrust case,এন্টিট্রাস্ট ক্ষেত্রে
antitrust law,বিশ্বাস বিরোধী আইন
antitrust legislation,এন্টিট্রাস্ট আইন
antiviral drug,রোগাদির ড্রাগ
anti-war movement,যুদ্ধবিরোধী আন্দোলন
anton chekhov,আন্তন চেখভ
antony tudor,এন্টনি টিউডার
anvil block,নেহাই ব্লক
anvil smith,নেহাই স্মিথ
anwar sadat,আনোয়ার সাদাত
anxiety attack,উদ্বেগ আক্রমণ
anxiety disorder,উদ্বেগ ব্যাধি
anxiety hysteria,উদ্বেগ হিস্টিরিয়া
anxiety neurosis,উদ্বেগ উদ্বায়ু
anxiety reaction,উদ্বেগ প্রতিক্রিয়া
anxious about,উদ্বিগ্ন
anxious for,উদ্বিগ্ন
anxious look,উদ্বিগ্ন চেহারা
any he,কোন সে
any longer,আর বেশি সময়
any more,কোন
any one,একটি
anything but,একেবারেই নয়
anything else,আরও কিছু?; আরও কিছু লাগবে?
anything like,ভালো কিছু
anywhere else,যে কোন জায়গায় অন্য
anywhere near,ধারে কাছে ও না
aortic arch,মহাধমনীর খিলান
aortic orifice,মহাধমনীর রন্ধ্র
aortic plexus,মহাধমনীর জালক
aortic stenosis,মহাধমনীর স্টেনোসিস
aortic valve,মহাধমনীর ভালভ
ap punctuation,পি যতিচিহ্ন
ap test,পি পরীক্ষা
apache pine,এ্যাপাচি পাইন
apache plume,এ্যাপাচি প্লাম
apart from,কোন কিছু থেকে আলাদা ; কোন কিছু ছাড়া
apartment building,অ্যাপার্টমেন্ট বিল্ডিং
apartment hotel,এপার্টমেন্ট হোটেল
apartment house,অ্যাপার্টমেন্ট ঘর
ape man,বানর মানব
aperture ratio,অ্যাপারচার অনুপাত
aperture vignette,অ্যাপারচার চিত্র
apetalous flower,অপর্ণ ফুল
apex beat,অ্যাপেক্স বীট
apex court,সুপ্রিম কোর্ট
apex rule,অ্যাপেক্স নিয়ম
apex stone,অ্যাপেক্স পাথর
aphid lion,এদের অবস''ানের পাশাপাশি সিংহ
aphid rosette,এদের অবস''ানের পাশাপাশি নকশা
apical fixed,শীর্ষস্থ সংশোধন
apical placentation,শীর্ষস্থ অমরাবিন্যাস
apis mellifera,এপিস মেলিফ্লেরা
apocrypha list,অপ্রামাণিক রচনাবলী তালিকা
apollo asteroid,অ্যাপোলো গ্রহাণু
apollo basalt,অ্যাপোলো ব্যাসল্ট
apollo program,অ্যাপোলো প্রোগ্রাম
apostle hood,প্রেরিত ফণা
apostle spoon,প্রেরিত চামচ
apostolic delegate,সাহাবি প্রতিনিধি
apothecary shop,একজন সুগন্ধি দোকান
apothecary's shop,ঔষধ এর দোকান
app builder,অ্যাপ্লিকেশন রচয়িতা
appalachian mountains,অ্যাপালেচিয়ান পর্বতমালা
apparel chain,পোশাক চেইন
apparel garments,পোশাক গার্মেন্টস
apparel industry,পোশাক শিল্প
apparent death,আপাত মৃত্যু
apparent horizon,আপাত দিগন্ত
apparent motion,আপাত গতি
apparent movement,আপাত আন্দোলন
appeal against,বিরুদ্ধে আপীল
appeal board,আপিল বোর্ড
appeal for,আবেদন করা (কোন কিছু)
appeal to,আবেদন করা (ব্যক্তি)
appeals board,আপিল বোর্ড
appeals court,আপিল আদালত
appear suddenly,হঠাৎ দেখা
appearance money,চেহারা টাকা
appearing frequently,ঘন ঘন
appellate court,আপিল আদালত
appendicular artery,খিল ধমনী
appendicular skeleton,খিল কঙ্কাল
appendicular vein,খিল শিরা
appetite for,ক্ষুধা
appetite suppressant,ক্ষুধা নিবারন
apple aphid,আপেল এদের অবস''ানের পাশাপাশি
apple blight,আপেল ব্লাইট
apple butter,আপেল মাখন
apple canker,আপেল কীট
apple drone,আপেল ড্রোন
apple dumpling,আপেল পুডিংবিশেষ
apple fritter,আপেল শামুক
apple geranium,আপেল আকৃতির ফল দেয়
apple green,আপেল সবুজ
apple grower,আপেল চাষী
apple jelly,আপেল জেলি
apple juice,আপেল জুস
apple maggot,আপেল শূককীট
apple mint,আপেল টাকশাল
apple moth,আপেল মথ
apple nut,আপেল বাদামের
apple orchard,আপেল ফলের বাগান
apple pie,আপেল পাই
apple pox,আপেল পক্স
apple puree,আপেল আঁচলা
apple root,আপেল রুট
apple rosette,আপেল গোলাপ
apple rust,আপেল জং
apple shell,আপেল শেল
apple snail,আপেল শামুক
apple tart,আপেল টার্ট
apple tree,আপেল গাছ
apple turnover,আপেল মুড়ি
apple wine,আপেল ওয়াইন
apple-pie order,নিখুঁত শৃঙ্খলা; খুব সুশৃঙ্খলভাবে
applesauce cake,আজেবাজে পিষ্টক
application form,আবেদনপত্র
application lace,আবেদন লেইস
applications programme,অ্যাপ্লিকেশন প্রোগ্রাম
applied anatomy,ফলিত অ্যানাটমি
applied for,প্রার্থিত
applied math,ফলিত গণিত
applied mathematics,ফলিত গণিত
applied physics,ফলিত পদার্থ বিজ্ঞান
applied psychology,ফলিত মনোবিজ্ঞান
applied science,ফলিত বিজ্ঞান
applied scientist,ফলিত বিজ্ঞানী
apply correspondingly,সঙ্গতিপূর্ণভাবেই আবেদন
apply for,আবেদন করা (কোন কিছু)
apply to,আবেদন করা (ব্যক্তি)
applying for,প্রার্থী
appointed day,নির্দিষ্ট দিন
appointed time,প্রতিশ্রুত সময়
appointing power,নিয়োগ পাওয়ার
